fichier,résultat
CdS-b1-08fj,neutral
CdS-b1-08g1,négatif
CdS-b1-010h,négatif
CdS-b1-0171,neutral
CdS-b1-05ec,positif
CdS-b1-0001,positif
CdS-b1-0006,positif
CdS-b1-000i,positif
CdS-b1-001y,positif
CdS-b1-003i,positif
CdS-b1-003u,positif
CdS-b1-00e9,neutral
CdS-b1-00p2,positif
CdS-b1-00nv,positif
CdS-b1-00pq,neutral
CdS-b1-00qz,positif
CdS-b1-00ra,neutral
CdS-b1-012n,positif
CdS-b1-012u,positif
CdS-b1-011p,positif
CdS-b1-012b,positif
CdS-b1-011y,positif
CdS-b1-0120,positif
CdS-b1-018l,positif
CdS-b1-0182,neutral
CdS-b1-018s,positif
CdS-b1-012y,négatif
CdS-b1-013t,positif
CdS-b1-0173,positif
CdS-b1-017x,neutral
CdS-b1-01bs,neutral
CdS-b1-01bx,positif
CdS-b1-01c8,négatif
CdS-b1-01ca,positif
CdS-b1-01c4,neutral
CdS-b1-01fu,positif
CdS-b1-01jl,positif
CdS-b1-01jq,neutral
CdS-b1-01js,positif
CdS-b1-01jx,neutral
CdS-b1-01je,neutral
CdS-b1-01j4,négatif
CdS-b1-01j9,neutral
CdS-b1-01kt,positif
CdS-b1-01kv,positif
CdS-b1-01l7,neutral
CdS-b1-01k5,neutral
CdS-b1-01ka,positif
CdS-b1-01kc,positif
CdS-b1-01lj,négatif
CdS-b1-01lo,neutral
CdS-b1-01l0,positif
CdS-b1-01kh,positif
CdS-b1-01ko,négatif
CdS-b1-01lq,positif
CdS-b1-01lv,positif
CdS-b1-01mw,positif
CdS-b1-01n3,neutral
CdS-b1-01nf,positif
CdS-b1-01nk,positif
CdS-b1-01mc,neutral
CdS-b1-01mo,neutral
CdS-b1-01mr,positif
CdS-b1-01m2,positif
CdS-b1-01m7,négatif
CdS-b1-01mj,neutral
CdS-b1-01n8,positif
CdS-b1-01nm,positif
CdS-b1-01o2,neutral
CdS-b1-01o4,positif
CdS-b1-01nr,positif
CdS-b1-01os,neutral
CdS-b1-01ow,positif
CdS-b1-01p3,neutral
CdS-b1-01og,neutral
CdS-b1-01ny,neutral
CdS-b1-01pe,positif
CdS-b1-01ph,positif
CdS-b1-01pt,négatif
CdS-b1-01py,positif
CdS-b1-01q5,positif
CdS-b1-01pa,positif
CdS-b1-01pm,positif
CdS-b1-024o,positif
CdS-b1-024j,positif
CdS-b1-02d3,positif
CdS-b1-02hf,neutral
CdS-b1-02hh,neutral
CdS-b1-02ha,neutral
CdS-b1-02hm,négatif
CdS-b1-02h2,positif
CdS-b1-02it,neutral
CdS-b1-02iv,neutral
CdS-b1-02io,positif
CdS-b1-02i5,neutral
CdS-b1-02hy,neutral
CdS-b1-02ic,négatif
CdS-b1-02i0,positif
CdS-b1-02ht,positif
CdS-b1-02jc,positif
CdS-b1-02je,positif
CdS-b1-032p,neutral
CdS-b1-0331,neutral
CdS-b1-03r9,neutral
CdS-b1-03v3,neutral
CdS-b1-041f,positif
CdS-b1-046m,positif
CdS-b1-049m,négatif
CdS-b1-04gi,positif
CdS-b1-04gk,positif
CdS-b1-04h1,négatif
CdS-b1-04gp,neutral
CdS-b1-04h4,négatif
CdS-b1-04gw,positif
CdS-b1-04gd,positif
CdS-b1-04ig,négatif
CdS-b1-04ii,négatif
CdS-b1-04hl,négatif
CdS-b1-04hn,positif
CdS-b1-04hz,positif
CdS-b1-04hg,positif
CdS-b1-04in,positif
CdS-b1-04i4,positif
CdS-b1-04h9,positif
CdS-b1-04ib,négatif
CdS-b1-04iz,négatif
CdS-b1-04j1,négatif
CdS-b1-04ju,positif
CdS-b1-04jv,positif
CdS-b1-04k0,négatif
CdS-b1-04k7,négatif
CdS-b1-04jp,négatif
CdS-b1-04j6,négatif
CdS-b1-04ji,positif
CdS-b1-04jd,négatif
CdS-b1-04iu,négatif
CdS-b1-04l7,positif
CdS-b1-04l9,positif
CdS-b1-04kv,négatif
CdS-b1-04kq,négatif
CdS-b1-04kc,négatif
CdS-b1-04l2,positif
CdS-b1-04kj,négatif
CdS-b1-04ko,négatif
CdS-b1-04le,négatif
CdS-b1-04m2,positif
CdS-b1-04m9,positif
CdS-b1-04n0,positif
CdS-b1-04n5,positif
CdS-b1-04n7,positif
CdS-b1-04ol,positif
CdS-b1-04oc,négatif
CdS-b1-04q0,négatif
CdS-b1-04po,positif
CdS-b1-04pt,positif
CdS-b1-04pv,négatif
CdS-b1-04p9,négatif
CdS-b1-04pc,négatif
CdS-b1-04ox,positif
CdS-b1-04os,positif
CdS-b1-04qq,négatif
CdS-b1-04r7,négatif
CdS-b1-04r9,négatif
CdS-b1-04qj,négatif
CdS-b1-04q7,négatif
CdS-b1-04rl,négatif
CdS-b1-04re,positif
CdS-b1-04qc,négatif
